chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	348572616	78.50	0	434
BdenJEL423_SC01_region	4440149	348572616	78.50	0	434
BdenJEL423_SC02	2313122	221588009	95.80	0	1904
BdenJEL423_SC02_region	2313122	221588009	95.80	0	1904
BdenJEL423_SC03	1829408	156711899	85.66	0	6101
BdenJEL423_SC03_region	1829408	156711899	85.66	0	6101
BdenJEL423_SC04	1803316	141653693	78.55	0	316
BdenJEL423_SC04_region	1803316	141653693	78.55	0	316
BdenJEL423_SC05	1707251	185471427	108.64	0	1675
BdenJEL423_SC05_region	1707251	185471427	108.64	0	1675
BdenJEL423_SC06	1545501	126702111	81.98	0	1457
BdenJEL423_SC06_region	1545501	126702111	81.98	0	1457
BdenJEL423_SC07	1398854	116105388	83.00	0	825
BdenJEL423_SC07_region	1398854	116105388	83.00	0	825
BdenJEL423_SC08	1069847	115878354	108.31	0	2857
BdenJEL423_SC08_region	1069847	115878354	108.31	0	2857
BdenJEL423_SC09	1057463	81690606	77.25	0	419
BdenJEL423_SC09_region	1057463	81690606	77.25	0	419
BdenJEL423_SC10	1012305	79548367	78.58	0	1407
BdenJEL423_SC10_region	1012305	79548367	78.58	0	1407
BdenJEL423_SC11	979369	77658101	79.29	0	669
BdenJEL423_SC11_region	979369	77658101	79.29	0	669
BdenJEL423_SC12	937107	73243026	78.16	0	335
BdenJEL423_SC12_region	937107	73243026	78.16	0	335
BdenJEL423_SC13	898261	77184319	85.93	0	1716
BdenJEL423_SC13_region	898261	77184319	85.93	0	1716
BdenJEL423_SC14	857155	180281578	210.33	0	6719
BdenJEL423_SC14_region	857155	180281578	210.33	0	6719
BdenJEL423_SC15	557602	46217399	82.89	0	1572
BdenJEL423_SC15_region	557602	46217399	82.89	0	1572
BdenJEL423_SC16	498254	28312562	56.82	0	342
BdenJEL423_SC16_region	498254	28312562	56.82	0	342
BdenJEL423_SC17	243426	17783531	73.06	0	179
BdenJEL423_SC17_region	243426	17783531	73.06	0	179
BdenJEL423_SC18	48566	5896901	121.42	0	1566
BdenJEL423_SC18_region	48566	5896901	121.42	0	1566
BdenJEL423_SC19	69118	3933163	56.91	0	201
BdenJEL423_SC19_region	69118	3933163	56.91	0	201
BdenJEL423_SC20	45066	3791428	84.13	0	418
BdenJEL423_SC20_region	45066	3791428	84.13	0	418
BdenJEL423_SC21	28371	2203894	77.68	0	119
BdenJEL423_SC21_region	28371	2203894	77.68	0	119
BdenJEL423_SC22	17531	1442395	82.28	1	164
BdenJEL423_SC22_region	17531	1442395	82.28	1	164
BdenJEL423_SC23	15724	4233921	269.26	0	1880
