chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	322617695	72.66	0	411
BdenJEL423_SC01_region	4440149	322617695	72.66	0	411
BdenJEL423_SC02	2313122	267609318	115.69	0	1128
BdenJEL423_SC02_region	2313122	267609318	115.69	0	1128
BdenJEL423_SC03	1829408	198385965	108.44	0	916
BdenJEL423_SC03_region	1829408	198385965	108.44	0	916
BdenJEL423_SC04	1803316	130536634	72.39	0	316
BdenJEL423_SC04_region	1803316	130536634	72.39	0	316
BdenJEL423_SC05	1707251	122558763	71.79	0	1139
BdenJEL423_SC05_region	1707251	122558763	71.79	0	1139
BdenJEL423_SC06	1545501	114082947	73.82	0	1185
BdenJEL423_SC06_region	1545501	114082947	73.82	0	1185
BdenJEL423_SC07	1398854	101886461	72.84	0	594
BdenJEL423_SC07_region	1398854	101886461	72.84	0	594
BdenJEL423_SC08	1069847	105733444	98.83	0	776
BdenJEL423_SC08_region	1069847	105733444	98.83	0	776
BdenJEL423_SC09	1057463	75453194	71.35	0	297
BdenJEL423_SC09_region	1057463	75453194	71.35	0	297
BdenJEL423_SC10	1012305	73452943	72.56	0	395
BdenJEL423_SC10_region	1012305	73452943	72.56	0	395
BdenJEL423_SC11	979369	71003460	72.50	0	637
BdenJEL423_SC11_region	979369	71003460	72.50	0	637
BdenJEL423_SC12	937107	67531165	72.06	0	323
BdenJEL423_SC12_region	937107	67531165	72.06	0	323
BdenJEL423_SC13	898261	69563570	77.44	0	1878
BdenJEL423_SC13_region	898261	69563570	77.44	0	1878
BdenJEL423_SC14	857155	90643547	105.75	0	3373
BdenJEL423_SC14_region	857155	90643547	105.75	0	3373
BdenJEL423_SC15	557602	40915909	73.38	0	278
BdenJEL423_SC15_region	557602	40915909	73.38	0	278
BdenJEL423_SC16	498254	35614807	71.48	0	324
BdenJEL423_SC16_region	498254	35614807	71.48	0	324
BdenJEL423_SC17	243426	17665139	72.57	0	221
BdenJEL423_SC17_region	243426	17665139	72.57	0	221
BdenJEL423_SC18	48566	3812974	78.51	0	564
BdenJEL423_SC18_region	48566	3812974	78.51	0	564
BdenJEL423_SC19	69118	4001299	57.89	0	235
BdenJEL423_SC19_region	69118	4001299	57.89	0	235
BdenJEL423_SC20	45066	4127533	91.59	0	284
BdenJEL423_SC20_region	45066	4127533	91.59	0	284
BdenJEL423_SC21	28371	1989673	70.13	1	121
BdenJEL423_SC21_region	28371	1989673	70.13	1	121
BdenJEL423_SC22	17531	979473	55.87	0	200
BdenJEL423_SC22_region	17531	979473	55.87	0	200
BdenJEL423_SC23	15724	2223568	141.41	0	871
BdenJEL423_SC23_region	15724	2223568	141.41	0	871
BdenJEL423_SC24	15635	1236026	79.06	0	249
BdenJEL423_SC24_region	15635	1236026	79.06	0	249
BdenJEL423_SC25	13302	902570	67.85	0	213
BdenJEL423_SC25_region	13302	902570	67.85	0	213
BdenJEL423_SC26	12287	790675	64.35	0	205
BdenJEL423_SC26_region	12287	790675	64.35	0	205
BdenJEL423_SC27	11745	1323332	112.67	0	328
BdenJEL423_SC27_region	11745	1323332	112.67	0	328
BdenJEL423_SC28	11715	751244	64.13	0	152
BdenJEL423_SC28_region	11715	751244	64.13	0	152
BdenJEL423_SC29	10519	569864	54.17	0	164
BdenJEL423_SC29_region	10519	569864	54.17	0	164
BdenJEL423_SC30	9825	337191	34.32	0	115
BdenJEL423_SC30_region	9825	337191	34.32	0	115
BdenJEL423_SC31	9499	706087	74.33	0	195
BdenJEL423_SC31_region	9499	706087	74.33	0	195
BdenJEL423_SC32	9394	962348	102.44	0	348
BdenJEL423_SC32_region	9394	962348	102.44	0	348
BdenJEL423_SC33	8891	506672	56.99	0	96
