chrom	length	bases	mean	min	max
BdenJEL423_SC01	4440149	134962509	30.40	0	377
BdenJEL423_SC01_region	4440149	134962509	30.40	0	377
BdenJEL423_SC02	2313122	98223415	42.46	0	901
BdenJEL423_SC02_region	2313122	98223415	42.46	0	901
BdenJEL423_SC03	1829408	83304012	45.54	0	352
BdenJEL423_SC03_region	1829408	83304012	45.54	0	352
BdenJEL423_SC04	1803316	52778806	29.27	0	174
BdenJEL423_SC04_region	1803316	52778806	29.27	0	174
BdenJEL423_SC05	1707251	52262326	30.61	0	900
BdenJEL423_SC05_region	1707251	52262326	30.61	0	900
BdenJEL423_SC06	1545501	45996064	29.76	0	205
BdenJEL423_SC06_region	1545501	45996064	29.76	0	205
BdenJEL423_SC07	1398854	43406257	31.03	0	358
BdenJEL423_SC07_region	1398854	43406257	31.03	0	358
BdenJEL423_SC08	1069847	33256596	31.09	0	492
BdenJEL423_SC08_region	1069847	33256596	31.09	0	492
BdenJEL423_SC09	1057463	29862343	28.24	0	152
BdenJEL423_SC09_region	1057463	29862343	28.24	0	152
BdenJEL423_SC10	1012305	30085441	29.72	0	276
BdenJEL423_SC10_region	1012305	30085441	29.72	0	276
BdenJEL423_SC11	979369	30579426	31.22	0	584
BdenJEL423_SC11_region	979369	30579426	31.22	0	584
BdenJEL423_SC12	937107	32921982	35.13	0	184
BdenJEL423_SC12_region	937107	32921982	35.13	0	184
BdenJEL423_SC13	898261	31057867	34.58	0	1744
BdenJEL423_SC13_region	898261	31057867	34.58	0	1744
BdenJEL423_SC14	857155	44917564	52.40	0	3509
BdenJEL423_SC14_region	857155	44917564	52.40	0	3509
BdenJEL423_SC15	557602	17471441	31.33	0	175
BdenJEL423_SC15_region	557602	17471441	31.33	0	175
BdenJEL423_SC16	498254	15026957	30.16	0	184
BdenJEL423_SC16_region	498254	15026957	30.16	0	184
BdenJEL423_SC17	243426	6404713	26.31	0	103
BdenJEL423_SC17_region	243426	6404713	26.31	0	103
BdenJEL423_SC18	48566	1374702	28.31	0	199
BdenJEL423_SC18_region	48566	1374702	28.31	0	199
BdenJEL423_SC19	69118	1286990	18.62	0	88
BdenJEL423_SC19_region	69118	1286990	18.62	0	88
BdenJEL423_SC20	45066	1378370	30.59	0	125
BdenJEL423_SC20_region	45066	1378370	30.59	0	125
BdenJEL423_SC21	28371	784434	27.65	0	68
BdenJEL423_SC21_region	28371	784434	27.65	0	68
BdenJEL423_SC22	17531	380511	21.71	0	73
BdenJEL423_SC22_region	17531	380511	21.71	0	73
BdenJEL423_SC23	15724	810912	51.57	0	215
BdenJEL423_SC23_region	15724	810912	51.57	0	215
BdenJEL423_SC24	15635	525733	33.63	0	139
BdenJEL423_SC24_region	15635	525733	33.63	0	139
BdenJEL423_SC25	13302	417179	31.36	0	145
BdenJEL423_SC25_region	13302	417179	31.36	0	145
BdenJEL423_SC26	12287	471661	38.39	0	173
BdenJEL423_SC26_region	12287	471661	38.39	0	173
BdenJEL423_SC27	11745	551070	46.92	0	176
BdenJEL423_SC27_region	11745	551070	46.92	0	176
BdenJEL423_SC28	11715	371218	31.69	0	103
BdenJEL423_SC28_region	11715	371218	31.69	0	103
BdenJEL423_SC29	10519	147751	14.05	0	75
BdenJEL423_SC29_region	10519	147751	14.05	0	75
BdenJEL423_SC30	9825	261813	26.65	0	59
BdenJEL423_SC30_region	9825	261813	26.65	0	59
BdenJEL423_SC31	9499	363567	38.27	0	124
BdenJEL423_SC31_region	9499	363567	38.27	0	124
BdenJEL423_SC32	9394	381019	40.56	0	143
BdenJEL423_SC32_region	9394	381019	40.56	0	143
BdenJEL423_SC33	8891	257081	28.91	0	67
BdenJEL423_SC33_region	8891	257081	28.91	0	67
BdenJEL423_SC34	8868	138124	15.58	0	42
BdenJEL423_SC34_region	8868	138124	15.58	0	42
BdenJEL423_SC35	14477	737249	50.93	0	310
BdenJEL423_SC35_region	14477	737249	50.93	0	310
BdenJEL423_SC36	8411	260398	30.96	0	81
BdenJEL423_SC36_region	8411	260398	30.96	0	81
BdenJEL423_SC37	8246	153799	18.65	0	60
BdenJEL423_SC37_region	8246	153799	18.65	0	60
BdenJEL423_SC38	7919	174456	22.03	0	56
BdenJEL423_SC38_region	7919	174456	22.03	0	56
BdenJEL423_SC39	7486	230230	30.75	0	129
BdenJEL423_SC39_region	7486	230230	30.75	0	129
BdenJEL423_SC40	7373	117622	15.95	0	53
BdenJEL423_SC40_region	7373	117622	15.95	0	53
BdenJEL423_SC41	7250	1951075	269.11	1	502
BdenJEL423_SC41_region	7250	1951075	269.11	1	502
BdenJEL423_SC42	7213	189226	26.23	0	107
BdenJEL423_SC42_region	7213	189226	26.23	0	107
BdenJEL423_SC43	7203	208297	28.92	0	69
BdenJEL423_SC43_region	7203	208297	28.92	0	69
BdenJEL423_SC44	7151	163838	22.91	0	74
BdenJEL423_SC44_region	7151	163838	22.91	0	74
BdenJEL423_SC45	7120	174594	24.52	0	75
BdenJEL423_SC45_region	7120	174594	24.52	0	75
BdenJEL423_SC46	7014	146941	20.95	0	42
BdenJEL423_SC46_region	7014	146941	20.95	0	42
BdenJEL423_SC47	6856	483971	70.59	0	177
BdenJEL423_SC47_region	6856	483971	70.59	0	177
BdenJEL423_SC48	6834	196575	28.76	0	65
BdenJEL423_SC48_region	6834	196575	28.76	0	65
BdenJEL423_SC49	6519	513014	78.70	0	444
BdenJEL423_SC49_region	6519	513014	78.70	0	444
BdenJEL423_SC50	6174	128831	20.87	0	50
BdenJEL423_SC50_region	6174	128831	20.87	0	50
BdenJEL423_SC51	6095	495107	81.23	0	458
BdenJEL423_SC51_region	6095	495107	81.23	0	458
BdenJEL423_SC52	6071	131938	21.73	0	83
BdenJEL423_SC52_region	6071	131938	21.73	0	83
BdenJEL423_SC53	6016	1281874	213.08	0	711
BdenJEL423_SC53_region	6016	1281874	213.08	0	711
BdenJEL423_SC54	5992	762510	127.25	0	772
BdenJEL423_SC54_region	5992	762510	127.25	0	772
BdenJEL423_SC55	5977	71114	11.90	0	28
BdenJEL423_SC55_region	5977	71114	11.90	0	28
BdenJEL423_SC56	5808	139669	24.05	0	57
BdenJEL423_SC56_region	5808	139669	24.05	0	57
BdenJEL423_SC57	5752	279632	48.61	0	163
BdenJEL423_SC57_region	5752	279632	48.61	0	163
BdenJEL423_SC58	8484	4154757	489.72	0	5029
BdenJEL423_SC58_region	8484	4154757	489.72	0	5029
BdenJEL423_SC59	5694	313975	55.14	0	183
BdenJEL423_SC59_region	5694	313975	55.14	0	183
BdenJEL423_SC60	5543	57413	10.36	0	23
BdenJEL423_SC60_region	5543	57413	10.36	0	23
BdenJEL423_SC61	5512	64834	11.76	0	39
BdenJEL423_SC61_region	5512	64834	11.76	0	39
BdenJEL423_SC62	5380	31469	5.85	0	41
BdenJEL423_SC62_region	5380	31469	5.85	0	41
BdenJEL423_SC63	5288	134493	25.43	0	71
BdenJEL423_SC63_region	5288	134493	25.43	0	71
BdenJEL423_SC64	5189	137669	26.53	0	63
